n,E(s) Simple ILS,F(s) Simple ILS,RLN Simple ILS,E(s) VNS,F(s) VNS,RLN VNS,E(s) SA,F(s) SA,RLN SA,E(s) TSv7,F(s) TSv7,RLN TSv7
66,297,7.333333333333333,4134123141123111311231151124112211,305,7.140983606557377,11213121121613222111151241154331,297,7.333333333333333,2211122111223115343153141111121312,273,7.978021978021978,1112112211221111112431561612231231
67,309,7.263754045307444,1222122124131421111711424111341111,321,6.992211838006231,23111111143222B431213211211212121,289,7.76643598615917,11121111112511511315132422123212321,261,8.599616858237548,22121612146412223211233121111111111
68,250,9.248,21212221121415232123274114111111111,322,7.180124223602484,112112112111132111323131133515212215,294,7.863945578231292,22334611182131111312112121111212221,302,7.655629139072848,4342611321311314132141111221121211
69,330,7.213636363636364,221221231151121111311119111233211422,338,7.042899408284024,27112132131114121113122121113133432,338,7.042899408284024,1112452114214117132311123121311131,310,7.679032258064516,1414411238231213222112122121111111111
70,351,6.98005698005698,1616432311223111131231111211212112131,367,6.67574931880109,121111112111522125131313351241121421,327,7.492354740061162,122112222333112321111212411311411B,295,8.305084745762711,12122112113411111222311311114211123219
71,347,7.263688760806916,24431121211323232151171213131211111,359,7.020891364902507,3C31131133222124211122112111121111121,347,7.263688760806916,1443411213211111222111111512413221511,323,7.803405572755418,111121413141211113342365111122212212
72,380,6.821052631578947,1112121112111311221131123323131222565,368,7.043478260869565,41211612112122222123332143611111114,364,7.1208791208791204,321221257223224111311151112111121114,356,7.280898876404494,1122142141222113131111141112342411441
73,368,7.240489130434782,1111111111211212121132112346422222229,400,6.66125,12112113211423121511472131522311131,364,7.320054945054945,111112211111211111212211444215B122322,308,8.650974025974026,7214214241534113111113122212111112111
74,405,6.760493827160494,33331112111214173111113213212212125112,413,6.62953995157385,A1221222115411311112233332111121112111,349,7.845272206303725,4C3432232111121111111112211112212122121,357,7.669467787114846,12321236321121321522421121611111111121
75,409,6.876528117359413,7111111711222212311112533241211122411,437,6.435926773455377,13111231111122131121222334621211121A2,409,6.876528117359413,B323224112111254113111111112122122122,385,7.305194805194805,11112112112131112521311134312222471313
